consulta,arquitetura,n,media_s,dp_s,mediana_s,ic95_low,ic95_high,normal
Q1,parquet_bruto,30,0.16230000000000003,0.021185876883205584,0.16145,0.1543890635592095,0.17021093644079055,True
Q1,delta,30,0.24709,0.023114607263925495,0.2508,0.23845886379889686,0.25572113620110315,True
Q1,iceberg,30,0.13898666666666668,0.021642578298398246,0.13515,0.13090519511477708,0.14706813821855627,True
Q2,parquet_bruto,30,0.13826333333333332,0.01717994988819582,0.1377,0.13184823461588438,0.14467843205078226,True
Q2,delta,30,0.1866166666666667,0.02483541802558892,0.18395,0.17734296916695907,0.19589036416637434,False
Q2,iceberg,30,0.11827333333333331,0.01763157303861717,0.1149,0.111689595760015,0.12485707090665163,False
Q3,parquet_bruto,30,0.5138266666666667,0.03154145529773239,0.5125500000000001,0.5020488936962121,0.5256044396371212,False
Q3,delta,30,0.6068833333333334,0.025790496556748928,0.6042000000000001,0.5972530036490047,0.6165136630176622,True
Q3,iceberg,30,0.4953933333333333,0.03468641722965757,0.48535,0.48244121227762726,0.5083454543890393,False
Q4,parquet_bruto,30,0.16077333333333332,0.027081561781140816,0.1522,0.15066091197126172,0.17088575469540493,False
Q4,delta,30,0.2609766666666667,0.03058565906155833,0.25235,0.24955579387628982,0.27239753945704354,False
Q4,iceberg,30,0.23736000000000004,0.12333392183767639,0.17725000000000002,0.19130635671536783,0.28341364328463226,False
Q5,parquet_bruto,30,0.13871666666666668,0.024292982998975362,0.13405,0.12964551773468908,0.1477878155986443,True
Q5,delta,30,0.21906999999999996,0.021898971004010278,0.21989999999999998,0.21089278983841483,0.22724721016158508,True
Q5,iceberg,30,0.3277,0.14447437190703075,0.33675,0.27375238292564263,0.38164761707435735,False
