consulta,comparacao,teste,estatistica,p_bruto,cliffs_delta,reducao_mediana_%,p_holm,significativo_5%
Q1,parquet_bruto vs delta,t de Welch,-14.811552175168675,2.704728397513148e-21,-0.9933333333333333,-55.34221121090121,3.7866197565184074e-20,True
Q1,parquet_bruto vs iceberg,t de Welch,4.216216448835748,8.814791941128396e-05,0.5922222222222222,16.289873025704562,0.0004407395970564198,True
Q1,delta vs iceberg,t de Welch,18.69894826474251,3.5609115040975486e-26,0.9977777777777778,46.11244019138756,5.341367256146323e-25,True
Q2,parquet_bruto vs delta,Mann-Whitney,30.5,5.834190404278727e-10,-0.9322222222222222,-33.58750907770517,4.667352323422982e-09,True
Q2,parquet_bruto vs iceberg,Mann-Whitney,744.5,1.3821271285127284e-05,0.6544444444444445,16.55773420479302,8.29276277107637e-05,True
Q2,delta vs iceberg,Mann-Whitney,883.0,1.6122875051368354e-10,0.9622222222222222,37.537374286490895,1.7735162556505189e-09,True
Q3,parquet_bruto vs delta,Mann-Whitney,25.0,3.4722499116835965e-10,-0.9444444444444444,-17.88118232367574,3.1250249205152368e-09,True
Q3,parquet_bruto vs iceberg,Mann-Whitney,642.5,0.004529934676438633,0.42777777777777776,5.306799336650093,0.013589804029315897,True
Q3,delta vs iceberg,Mann-Whitney,877.0,2.868337838122634e-10,0.9488888888888889,19.670638861304212,2.868337838122634e-09,True
Q4,parquet_bruto vs delta,Mann-Whitney,0.0,3.017966798490446e-11,-1.0,-65.80157687253615,3.6215601581885354e-10,True
Q4,parquet_bruto vs iceberg,Mann-Whitney,365.5,0.21424467530331948,-0.18777777777777777,-16.45860709592642,0.21424467530331948,False
Q4,delta vs iceberg,Mann-Whitney,595.0,0.032646104546210954,0.32222222222222224,29.760253616009507,0.06529220909242191,False
Q5,parquet_bruto vs delta,t de Welch,-13.456455958618227,2.1288741586169394e-19,-0.9844444444444445,-64.0432674375233,2.7675364062020213e-18,True
Q5,parquet_bruto vs iceberg,Mann-Whitney,143.0,5.856929142379138e-06,-0.6822222222222222,-151.21223424095487,4.0998503996653964e-05,True
Q5,delta vs iceberg,Mann-Whitney,210.0,0.0003986615076203675,-0.5333333333333333,-53.13778990450205,0.00159464603048147,True
